               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.024416,            0.010294,           0.0017586,             0.98206,             0.99691,             0.99459,             0.79002,            0.019723,           0.0037426,            0.000769,            0.008416,            0.008416,            0.008416
                  82,             0.02411,            0.010035,           0.0013965,             0.97306,                   1,              0.9945,             0.83394,            0.016468,           0.0036802,          0.00069676,           0.0083962,           0.0083962,           0.0083962
                  83,             0.02395,            0.010646,           0.0011927,             0.97959,                   1,             0.99454,             0.81664,            0.019267,           0.0037457,          0.00062002,           0.0083764,           0.0083764,           0.0083764
                  84,            0.024962,            0.010284,            0.001971,             0.96677,                   1,             0.99459,             0.82345,            0.019187,           0.0035208,          0.00058077,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024477,           0.0095201,           0.0012066,             0.98848,             0.99533,               0.995,             0.83797,            0.016246,           0.0035681,          0.00062162,           0.0083368,           0.0083368,           0.0083368
                  86,            0.024175,           0.0096835,           0.0021282,             0.97941,             0.99408,             0.99458,             0.83233,            0.019286,           0.0038866,          0.00065824,            0.008317,            0.008317,            0.008317
                  87,            0.024759,           0.0096158,           0.0020561,             0.98911,                   1,             0.99496,              0.8195,            0.018179,           0.0036854,          0.00075105,           0.0082972,           0.0082972,           0.0082972
                  88,            0.024482,            0.010373,           0.0017203,             0.99238,                   1,               0.995,             0.84536,            0.017913,           0.0036686,          0.00071648,           0.0082774,           0.0082774,           0.0082774
                  89,            0.024094,            0.010653,            0.001524,             0.99464,                   1,               0.995,             0.79774,            0.019561,           0.0035526,           0.0006278,           0.0082576,           0.0082576,           0.0082576
                  90,            0.022909,            0.010413,           0.0013279,             0.99713,                   1,               0.995,             0.82892,            0.017933,           0.0035087,          0.00058576,           0.0082378,           0.0082378,           0.0082378
                  91,            0.024468,           0.0094328,           0.0020184,             0.98934,             0.99481,             0.99425,             0.83275,            0.017475,           0.0035472,          0.00056168,            0.008218,            0.008218,            0.008218
                  92,            0.023205,            0.010197,           0.0010582,             0.99342,                   1,               0.995,             0.85929,            0.015253,           0.0032333,          0.00054437,           0.0081982,           0.0081982,           0.0081982
                  93,             0.02392,           0.0099984,           0.0011268,             0.99008,              0.9941,             0.99491,             0.84376,            0.016141,           0.0033451,          0.00055732,           0.0081784,           0.0081784,           0.0081784
                  94,            0.022268,           0.0094999,           0.0011339,             0.99301,                   1,               0.995,             0.84275,            0.016881,           0.0034075,          0.00058439,           0.0081586,           0.0081586,           0.0081586
                  95,            0.023522,           0.0090743,           0.0009746,              0.9898,             0.99449,               0.995,             0.82429,             0.01682,           0.0034316,          0.00076673,           0.0081388,           0.0081388,           0.0081388
                  96,            0.022501,           0.0094541,           0.0018796,             0.99842,              0.9943,               0.995,              0.8478,            0.015191,           0.0033687,          0.00089325,            0.008119,            0.008119,            0.008119
                  97,            0.021638,           0.0095051,           0.0016349,              0.9974,             0.99065,             0.99486,             0.83551,            0.015876,           0.0034548,          0.00080066,           0.0080992,           0.0080992,           0.0080992
                  98,            0.022508,             0.00919,           0.0014812,             0.99815,             0.99324,               0.995,             0.83663,            0.016115,           0.0033999,           0.0006989,           0.0080794,           0.0080794,           0.0080794
                  99,            0.022984,           0.0086779,            0.001986,             0.99363,             0.99065,             0.99491,             0.85711,             0.01568,           0.0033419,          0.00068197,           0.0080596,           0.0080596,           0.0080596
                 100,            0.023778,            0.010334,           0.0014319,             0.98653,                   1,             0.99486,             0.84081,            0.015188,           0.0032909,          0.00067139,           0.0080398,           0.0080398,           0.0080398
                 101,            0.022472,           0.0093483,           0.0015336,             0.98703,             0.98131,             0.99429,             0.84594,            0.015587,           0.0033042,          0.00064556,             0.00802,             0.00802,             0.00802
                 102,            0.023193,           0.0094759,          0.00097233,             0.99397,             0.98853,             0.99439,             0.85773,            0.016379,           0.0034338,          0.00065407,           0.0080002,           0.0080002,           0.0080002
                 103,            0.022768,           0.0092377,           0.0010558,             0.99256,               0.999,             0.99495,             0.83213,            0.016607,           0.0035341,          0.00050785,           0.0079804,           0.0079804,           0.0079804
                 104,            0.022552,            0.009408,           0.0014268,             0.99649,             0.99516,               0.995,             0.81796,            0.017276,           0.0034257,          0.00050669,           0.0079606,           0.0079606,           0.0079606
                 105,            0.022229,           0.0091253,           0.0012812,             0.99737,             0.99065,             0.99495,              0.8406,            0.015804,           0.0032812,          0.00052348,           0.0079408,           0.0079408,           0.0079408
                 106,            0.022979,           0.0097101,           0.0014906,             0.99873,             0.99065,             0.99495,             0.86132,            0.015153,           0.0032332,          0.00054287,            0.007921,            0.007921,            0.007921
                 107,             0.02262,            0.010033,           0.0013658,             0.99815,             0.99425,               0.995,             0.86594,            0.015339,           0.0032369,           0.0005956,           0.0079012,           0.0079012,           0.0079012
                 108,            0.023512,           0.0096138,           0.0010483,             0.99389,              0.9979,               0.995,             0.86863,            0.015021,            0.003154,          0.00062452,           0.0078814,           0.0078814,           0.0078814
                 109,             0.02228,           0.0089571,           0.0012743,             0.99195,                   1,             0.99495,             0.88236,            0.014837,           0.0032968,          0.00063954,           0.0078616,           0.0078616,           0.0078616
                 110,            0.021999,            0.009063,           0.0019024,              0.9913,                   1,             0.99495,             0.87024,            0.014704,           0.0031414,          0.00060037,           0.0078418,           0.0078418,           0.0078418
                 111,            0.022635,           0.0096382,           0.0016612,             0.99258,                   1,             0.99495,             0.87168,            0.014357,            0.003154,          0.00053198,            0.007822,            0.007822,            0.007822
                 112,            0.021622,           0.0088107,           0.0009137,             0.99862,              0.9933,               0.995,             0.85466,             0.01636,           0.0031869,          0.00051942,           0.0078022,           0.0078022,           0.0078022
                 113,            0.021619,           0.0090098,           0.0012955,             0.99843,              0.9953,               0.995,             0.82962,            0.016602,           0.0032595,          0.00054261,           0.0077824,           0.0077824,           0.0077824
                 114,            0.021393,           0.0087012,           0.0013659,             0.99239,              0.9988,               0.995,             0.86049,            0.017612,           0.0031067,          0.00053318,           0.0077626,           0.0077626,           0.0077626
                 115,            0.021466,           0.0091181,           0.0011107,               0.997,             0.99533,               0.995,              0.8601,            0.016498,            0.003087,          0.00058853,           0.0077428,           0.0077428,           0.0077428
                 116,            0.022502,           0.0087855,           0.0013451,             0.99751,             0.99065,             0.99495,              0.8642,            0.015211,           0.0030315,          0.00061834,            0.007723,            0.007723,            0.007723
                 117,            0.022334,           0.0086656,           0.0012859,             0.99777,             0.99065,             0.99491,             0.86395,            0.014541,           0.0029771,          0.00057459,           0.0077032,           0.0077032,           0.0077032
                 118,            0.021077,           0.0085777,          0.00099578,             0.99714,             0.99065,             0.99491,             0.88046,            0.014862,           0.0030151,          0.00052681,           0.0076834,           0.0076834,           0.0076834
                 119,            0.022672,           0.0087937,           0.0010651,             0.99802,             0.99065,             0.99491,              0.8794,            0.013916,           0.0029982,          0.00052109,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02215,           0.0091988,          0.00078712,             0.99819,             0.99511,               0.995,             0.86581,            0.014911,           0.0030148,          0.00052153,           0.0076438,           0.0076438,           0.0076438
                 121,            0.022176,           0.0095921,          0.00089031,             0.99769,             0.99987,               0.995,             0.86548,             0.01567,            0.003123,          0.00053381,            0.007624,            0.007624,            0.007624
                 122,            0.020552,           0.0096346,          0.00092284,             0.99846,             0.99999,               0.995,             0.87657,            0.014449,           0.0031285,           0.0005549,           0.0076042,           0.0076042,           0.0076042
                 123,            0.022093,           0.0088883,           0.0011636,             0.99773,                   1,               0.995,             0.86866,            0.013354,           0.0030919,          0.00059302,           0.0075844,           0.0075844,           0.0075844
                 124,            0.020253,           0.0096289,           0.0010451,             0.99667,                   1,               0.995,             0.86308,            0.013966,           0.0030313,          0.00058626,           0.0075646,           0.0075646,           0.0075646
                 125,            0.021522,            0.009247,          0.00092903,             0.99742,             0.99946,               0.995,             0.85627,            0.015254,           0.0030553,           0.0005751,           0.0075448,           0.0075448,           0.0075448
                 126,            0.020294,           0.0094103,          0.00079703,             0.99735,             0.99903,               0.995,             0.87792,             0.01498,           0.0030996,          0.00052761,            0.007525,            0.007525,            0.007525
                 127,            0.022761,           0.0094152,           0.0011223,             0.99801,             0.99835,               0.995,             0.86816,            0.014511,           0.0031011,          0.00054765,           0.0075052,           0.0075052,           0.0075052
                 128,            0.020613,           0.0091116,          0.00087933,             0.99827,             0.99998,               0.995,             0.89796,            0.013103,           0.0029834,          0.00060152,           0.0074854,           0.0074854,           0.0074854
                 129,            0.019952,           0.0087087,            0.001227,             0.99271,                   1,             0.99495,              0.8776,            0.013359,           0.0030797,           0.0006336,           0.0074656,           0.0074656,           0.0074656
                 130,            0.020163,            0.008776,           0.0010267,             0.99752,                   1,               0.995,             0.85967,            0.015431,            0.003162,          0.00061446,           0.0074458,           0.0074458,           0.0074458
                 131,            0.022002,           0.0090939,           0.0022505,             0.99742,                   1,               0.995,             0.86973,            0.014774,            0.003215,          0.00056834,            0.007426,            0.007426,            0.007426
                 132,            0.020909,           0.0087464,           0.0010432,             0.99953,             0.99879,               0.995,             0.86359,            0.015016,           0.0032906,          0.00051357,           0.0074062,           0.0074062,           0.0074062
                 133,            0.020926,            0.009092,           0.0011045,             0.99788,              0.9994,               0.995,             0.87297,            0.014458,           0.0032302,          0.00051491,           0.0073864,           0.0073864,           0.0073864
                 134,            0.020256,           0.0088228,           0.0012344,             0.99783,              0.9996,               0.995,             0.85957,            0.015884,           0.0030949,          0.00049655,           0.0073666,           0.0073666,           0.0073666
                 135,            0.022431,           0.0094143,           0.0011256,             0.99695,                   1,               0.995,             0.88116,            0.015085,           0.0031255,          0.00047789,           0.0073468,           0.0073468,           0.0073468
                 136,            0.021587,           0.0092387,           0.0008679,             0.99739,                   1,               0.995,             0.85064,            0.014517,           0.0030626,          0.00045373,            0.007327,            0.007327,            0.007327
